date,open,high,low,close,adj close,volume
2005-12-28,126.059998,127.430000,125.730003,127.430000,127.430000,1580000
2005-12-29,128.020004,129.600006,126.849998,129.559998,129.559998,1040000
2005-12-30,128.350006,129.339996,127.830002,128.029999,128.029999,460000
2006-01-03,130.970001,136.110001,130.970001,136.100006,136.100006,2270000
2006-01-04,136.100006,138.350006,135.220001,138.350006,138.350006,4970000
2006-01-05,135.270004,135.929993,134.210007,135.389999,135.389999,5870000
2006-01-06,138.399994,140.130005,138.380005,139.860001,139.860001,4380000
2006-01-09,138.410004,141.199997,138.350006,139.399994,139.399994,2700000
2006-01-10,139.399994,139.949997,136.729996,139.130005,139.130005,4760000
2006-01-11,139.729996,139.889999,138.009995,139.059998,139.059998,4770000
2006-01-12,137.350006,139.449997,136.789993,137.589996,137.589996,4450000
2006-01-13,138.089996,141.970001,138.050003,141.970001,141.970001,4170000
2006-01-17,141.770004,144.339996,141.220001,141.970001,141.970001,1800000
2006-01-18,139.440002,140.309998,137.270004,137.639999,137.639999,2090000
2006-01-19,140.220001,142.380005,139.580002,141.880005,141.880005,3730000
2006-01-20,143.820007,144.029999,139.619995,140.130005,140.130005,5030000
2006-01-23,141.190002,141.529999,138.699997,141.419998,141.419998,4290000
2006-01-24,140.750000,141.619995,138.509995,141.289993,141.289993,3910000
2006-01-25,144.570007,145.410004,142.710007,144.020004,144.020004,2710000
2006-01-26,143.089996,146.020004,142.449997,145.990005,145.990005,4740000
2006-01-27,147.220001,148.779999,145.789993,146.789993,146.789993,4700000
2006-01-30,147.949997,149.679993,146.940002,149.679993,149.679993,5890000
2006-01-31,151.910004,156.470001,151.889999,154.190002,154.190002,3090000
2006-02-01,155.139999,155.139999,150.869995,153.899994,153.899994,4440000
2006-02-02,154.570007,155.070007,150.399994,152.110001,152.110001,4750000
2006-02-03,151.250000,151.509995,147.059998,147.750000,147.750000,3000000
2006-02-06,149.429993,151.800003,149.339996,151.800003,151.800003,1910000
2006-02-07,153.800003,153.800003,140.630005,141.050003,141.050003,3050000
2006-02-08,142.470001,143.199997,139.100006,140.800003,140.800003,5140000
2006-02-09,145.479996,145.910004,142.899994,143.050003,143.050003,4940000
2006-02-10,142.149994,142.179993,136.779999,138.660004,138.660004,3080000
2006-02-13,137.490005,138.720001,133.789993,135.100006,135.100006,2760000
2006-02-14,136.020004,138.320007,134.309998,137.610001,137.610001,2890000
2006-02-15,136.089996,139.100006,133.289993,134.279999,134.279999,3990000
